4000 20.30 156 0
3800 20.20 152 0
3600 20.04 147 0
3400 19.81 143 0
3200 19.62 139 0
3000 19.46 135 0
2800 19.27 131 0
2600 19.06 127 0
2400 18.85 123 0
2200 18.65 120 0
2000 18.43 117 0
2000 18.39 78 0
1900 18.28 76 0
1800 18.19 74 0
1700 18.09 71 0
1600 18.00 69 0
1500 17.89 67 0
1400 17.80 65 0
1200 17.60 62 0
1100 17.47 60 0
1000 17.33 58 0 
700 16.86 54 0
500 16.38 52 0
400 16.00 23 0
320 15.63 22 0 
280 15.32 22 0
200 10.81 21 0
150 8.27 6.80 0
120 4.95 6.24 0
100 2.82 5.92 0 
70 1 5.51 0
60 0.77 5.41 0

